year,pish girl ,pish boy,first girl ,first boy,second girl,second boy,last girl,last boy
48,8782,10680,1760433,992699,0,0,542917,257649
49,9248,10966,1846935,1069331,0,0,623483,297295
50,8706,10602,1874746,1128112,0,0,702481,341018
51,9509,11728,1734310,1069331,161754,97464,797565,390881
52,10025,11748,1825407,1137189,361084,210381,668600,330668
53,18587,22400,1957533,1180938,576045,330293,547629,269295
54,40574,42280,2173074,1348350,739710,411746,524235,273383
56,79978,95446,2321089,1491431,824242,459419,558411,297107
57,97434,114435,2459239,1619235,875516,493394,608754,332835
58,108298,126838,2581835,1732580,917571,528769,634712,354566
59,119662,139835,2625342,1769630,972137,563126,693809,393750
60,109123,127363,3067778,1941547,1063448,626443,674398,438830
61,81163,90840,2899086,1899506,975359,599705,626861,416536
62,92554,103435,3170008,2113369,1078543,671334,572081,414349
63,85329,92196,3308208,2284600,1055466,661631,576781,399662
64,100960,101939,3468923,2525480,1114107,703546,591049,424139
65,36135,41639,3615988,2720028,1236523,782213,628377,450354
66,50376,56610,3828105,2960218,1355589,854653,700784,488771
67,58451,64986,4058853,3173967,1406118,893392,768422,509599
68,69064,77345,4307333,3450374,1498834,968082,825448,550813
69,85223,92756,4537629,3724812,1638550,1086056,944675,628342
70,103345,114151,4790250,4026895,1782133,1213665,1000835,671812
71,108151,119341,5041319,4328327,1892510,1340172,1066653,752813
72,119959,132554,5224343,4563250,2050707,1490871,1192370,838616
73,81307,87557,5270533,4666836,2274665,1724847,1385197,1003113
74,63534,69119,5210412,4652405,2496712,1943259,1476237,1108108
75,97782,43946,5151547,4594053,2621635,2090393,1615458,1304133
76,71299,75765,4996934,4448983,2729990,2225215,1701525,1477244
77,95339,99842,4885675,4352718,2845092,2343720,1816811,1662824
78,100308,104014,4720322,4217915,2880892,2401989,1903939,1800716
79,109723,110711,4560725,4106422,2889797,2404875,2022833,1896793
80,125856,125700,4348771,3938766,2828770,2343746,2050709,1957867
81,144365,142538,4175849,3792588,2748874,2278350,2065265,1998449
82,168240,160822,3924999,3588016,2698328,2255566,2020296,1964854
83,208167,195487,3662507,3366417,2636728,2228875,1940924,1887600
84,226503,212276,3457559,3190358,2514943,2163621,1944256,1873515
85,254035,238387,3215507,2991211,2345168,2025926,1917888,1854697
86,278060,262333,3108860,2897693,2214730,1931383,1917183,1845854
87,284583,268349,3009561,2818290,2100894,1837767,1890567,1805380
88,263246,247983,2952075,2773554,1967906,1740364,1838567,1731272
89,236191,219653,2912264,2742705,1833240,1644404,1832405,1677775
90,230414,221844,2878290,2713462,1733942,1558304,1713585,1546074
91,239148,225305,2898799,2734026,1705332,1539569,1601595,1437252
92,242765,232630,2932282,2769239,1693270,1535135,1567691,1389637
93,226989,232028,3522913,3328079,1110458,1002417,1683347,1594689
94,260266,271658,3610900,3407385,1085222,985951,1696561,1591595
95,323824,337615,3701398,3492795,1068474,979158,1643680,1555271
96,338704,349748,3819488,3603017,1591299,1463060,1130697,1099526
